,week,venue,attendance,referee,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards,,
211,238,Stamford Bridge (London),40142,OliverM.,0,1,False,False,True,2.75,3.45,2.65,3,3,7,,
212,238,Goodison Park (Liverpool),39206,CooteD.,0,2,False,False,True,2.48,3.4,2.95,10,1,0,,
213,238,Elland Road (Leeds),36304,HarringtonT.,4,3,True,False,False,1.64,4.2,5.2,10,0,4,,
214,237,Etihad Stadium (Manchester),52395,EnglandD.,2,1,True,False,False,1.19,7.8,14,7,3,6,,
215,237,City Ground (Nottingham),28869,MarrinerA.,2,2,False,True,False,2.6,3.2,2.9,9,2,4,,
216,237,Old Trafford (Manchester),73682,KavanaghC.,1,0,True,False,False,1.73,3.9,4.9,8,3,4,,
217,237,Emirates Stadium (London),60263,HooperS.,5,0,True,False,False,1.23,6.6,13,12,3,1,,
218,237,Anfield (Liverpool),53274,OliverM.,1,2,False,False,True,1.23,7,11,16,0,1,,
219,237,Craven Cottage (London),23534,BrooksJ.,0,0,False,True,False,2.29,3.45,3.2,10,5,3,,
220,237,Vitality Stadium (Bournemouth),10430,TaylorA.,2,3,False,False,True,4.9,3.8,1.74,11,3,3,,
221,237,Brentford Community Stadium (London),17051,MadleyR.,1,1,False,True,False,2.17,3.55,3.4,7,1,6,,
222,237,Amex Stadium (Brighton),31746,MadleyA.,4,1,True,False,False,3.05,3.4,2.4,16,0,3,,
223,237,Selhurst Park (London),25130,SalisburyM.,1,0,True,False,False,2.11,3.4,3.7,7,8,6,,
224,236,St. James' Park (Newcastle),52223,TierneyP.,4,0,True,False,False,1.78,3.85,4.6,7,5,2,,
225,236,London Stadium (London),62447,CooteD.,2,0,True,False,False,1.61,4.1,5.8,7,1,2,,
226,236,Tottenham Hotspur Stadium (London),61726,GillettJ.,1,2,False,False,True,2.21,3.5,3.3,10,7,6,,
227,236,Villa Park (Birmingham),41693,EnglandD.,4,0,True,False,False,2.08,3.5,3.65,14,1,1,,
228,236,Elland Road (Leeds),36447,TaylorA.,2,3,False,False,True,2.09,3.75,3.4,10,8,2,,
229,236,St. Mary's Stadium (Southampton),31145,JonesR.,1,1,False,True,False,6.8,4.8,1.46,6,7,3,,
230,236,Molineux Stadium (Wolverhampton),31425,OliverM.,0,4,False,False,True,2.36,3.35,3.15,9,6,3,,
231,236,Stamford Bridge (London),39503,AttwellS.,1,1,False,True,False,2.18,3.6,3.4,8,5,5,,
232,236,Goodison Park (Liverpool),38939,HooperS.,3,0,True,False,False,2.55,3.15,3.05,8,3,7,,
233,236,Etihad Stadium (Manchester),53223,PawsonC.,3,1,True,False,False,1.24,6.6,12,6,4,4,,
234,235,King Power Stadium (Leicester),30814,BankesP.,2,0,True,False,False,2.28,3.55,3.15,3,6,3,,
235,235,Craven Cottage (London),23508,OliverM.,3,0,True,False,False,2.95,3.4,2.46,14,3,2,,
236,235,Old Trafford (Manchester),73677,HooperS.,2,0,True,False,False,2.38,3.55,3.05,12,4,1,,
237,235,Vitality Stadium (Bournemouth),10405,BrooksJ.,0,1,False,False,True,2.7,3.25,2.75,6,2,4,,
238,235,Brentford Community Stadium (London),17118,GillettJ.,0,0,False,True,False,4.3,3.75,1.84,10,2,0,,
239,235,Anfield (Liverpool),53346,AttwellS.,1,0,True,False,False,1.44,5,6.8,10,1,0,,
240,235,St. James' Park (Newcastle),52247,HarringtonT.,1,0,True,False,False,1.7,3.9,5,4,3,6,,
241,235,Selhurst Park (London),25125,CooteD.,2,1,True,False,False,2.12,3.3,3.8,8,4,4,,
242,235,Anfield (Liverpool),53286,TaylorA.,1,0,True,False,False,3.7,4.2,1.92,8,3,4,,
243,235,Villa Park (Birmingham),41754,JonesR.,0,2,False,False,True,3.95,3.5,1.99,11,4,3,,
